device,rating,age,temperature,kWhPerYear,kWhPerCycle,units,Source,algorithm,default
Fridge,A++,-,-,91,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge,A+,-,-,138,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge,A,-,-,177,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge,B,-,-,217,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,default
Fridge,C,-,-,245,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge,D,-,-,278,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge,E,-,-,300,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge,F,-,-,300,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge,G,-,-,530,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge,Other,up to 12 years,-,177,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Fridge,Other,over 12 years,-,266,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,A++,-,-,175,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,A+,-,-,221,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,A,-,-,222,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,B,-,-,291,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,C,-,-,347,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,D,-,-,450,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,E,-,-,390,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,F,-,-,645,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,G,-,-,433,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,Other,up to 12 years,-,292,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Chest/upright Freezer,Other,over 12 years,-,445,0,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Fridge/Freezer,A++,-,-,206,0,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge/Freezer,A+,-,-,270,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer,A,-,-,408,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer,B,-,-,465,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer,C,-,-,609,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer,D,-,-,411,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer,E,-,-,591,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer,F,-,-,712,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer,G,-,-,821,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer,Other,up to 12 years,-,373,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,default
Fridge/Freezer,Other,over 12 years,-,593,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,default
Kettle,-,-,-,170,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,default
Microwave,-,-,-,111,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,default
Dishwasher,Normal,1-2 years,-,0,1.44,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,default
Dishwasher,Normal,3-5 years,-,0,1.496,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,default
Dishwasher,Normal,over 5 years,-,0,1.741,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,default
Dishwasher,Normal,I don't know,-,0,1.611,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Dishwasher,Economy,1-2 years,-,0,1.108,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,default
Dishwasher,Economy,3-5 years,-,0,1.151,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,default
Dishwasher,Economy,over 5 years,-,0,1.339,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,default
Dishwasher,Economy,I don't know,-,0,1.239,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washer/dryer,-,-,-,0,2.5,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,default
Washing line,-,-,-,0,0,N/A,N/A,,
Washing machine,A+,up to 12 years,30,0,0.418,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,A,up to 12 years,30,0,0.447,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,B,up to 12 years,30,0,0.446,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,C,up to 12 years,30,0,0.469,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,D,up to 12 years,30,0,0.584,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,E,up to 12 years,30,0,0.631,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,F,up to 12 years,30,0,0.677,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,G,up to 12 years,30,0,0.724,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,Other,up to 12 years,30,0,0.453,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,default
Washing machine,A+,over 12 years,30,0,0.347,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,A,over 12 years,30,0,0.387,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,B,over 12 years,30,0,0.428,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,C,over 12 years,30,0,0.468,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,D,over 12 years,30,0,0.51,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,E,over 12 years,30,0,0.55,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,F,over 12 years,30,0,0.591,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,G,over 12 years,30,0,0.631,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,Other,over 12 years,30,0,0.542,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,default
Washing machine,A+,up to 12 years,40,0,0.598,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,A,up to 12 years,40,0,0.638,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,B,up to 12 years,40,0,0.638,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,C,up to 12 years,40,0,0.671,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,D,up to 12 years,40,0,0.834,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,E,up to 12 years,40,0,0.901,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,F,up to 12 years,40,0,0.967,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,G,up to 12 years,40,0,1.034,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,Other,up to 12 years,40,0,0.648,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,default
Washing machine,A+,over 12 years,40,0,0.495,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,A,over 12 years,40,0,0.553,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,B,over 12 years,40,0,0.611,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,C,over 12 years,40,0,0.669,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,D,over 12 years,40,0,0.728,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,E,over 12 years,40,0,0.786,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,F,over 12 years,40,0,0.844,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,G,over 12 years,40,0,0.902,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,Other,over 12 years,40,0,0.774,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,default
Washing machine,A+,up to 12 years,60,0,0.996,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,A,up to 12 years,60,0,1.064,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,B,up to 12 years,60,0,1.063,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,C,up to 12 years,60,0,1.118,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,D,up to 12 years,60,0,1.39,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,E,up to 12 years,60,0,1.501,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,F,up to 12 years,60,0,1.612,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,G,up to 12 years,60,0,1.724,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,Other,up to 12 years,60,0,1.08,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,default
Washing machine,A+,over 12 years,60,0,0.825,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,A,over 12 years,60,0,0.922,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,B,over 12 years,60,0,1.02,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,C,over 12 years,60,0,1.12,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,D,over 12 years,60,0,1.21,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,E,over 12 years,60,0,1.31,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,F,over 12 years,60,0,1.41,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,G,over 12 years,60,0,1.5,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,Other,over 12 years,60,0,1.29,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,default
Washing machine,A+,up to 12 years,90,0,1.66,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,A,up to 12 years,90,0,1.773,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,B,up to 12 years,90,0,1.771,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,C,up to 12 years,90,0,1.863,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,D,up to 12 years,90,0,2.317,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,E,up to 12 years,90,0,2.502,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,F,up to 12 years,90,0,2.687,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,G,up to 12 years,90,0,2.873,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,Other,up to 12 years,90,0,1.799,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,default
Washing machine,A+,over 12 years,90,0,1.38,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,A,over 12 years,90,0,1.54,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,B,over 12 years,90,0,1.71,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,C,over 12 years,90,0,1.87,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,D,over 12 years,90,0,2.03,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,E,over 12 years,90,0,2.19,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,F,over 12 years,90,0,2.35,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,G,over 12 years,90,0,2.52,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,
Washing machine,Other,over 12 years,90,0,2.15,kWh/cycle,MTP/defra/amee 2008,value*user_cycles*fuel_electricity,default
